id,text
48582906,hapi adt message creation generate adt message hapi api sharing getting hl7 message generated message segment looks adt adt adt a03
39242912,google fit permission granted time steps distance calory google fit api accessing data google fit ask google fit permission allow access data google fit permission pop comes time allow time possible steps google fit google fit permission time please help solve issue api steps distance calory please tell getting consistent data google fit steps data original step google fit thank waiting help
9837032,read multiframe dicom image itk read single frame dicom image fine sure reading multi frame dicom file say multiple image single dicom file read single frame dicom thinking line image buffer loaded imagebuf divided parts number frame dicom part construct image done
19590457,convert stack dicom image vti file downloaded activiz application example downloaded show reading vti file create vti file stack image thank
48802558,niftynet load data spend time read doc don understand load data image label mapped exist standard data format
29856822,exact step google fit app tried source listed datasource api google fit exact match number steps fit app response returned apis cumbersome specific api walked steps min able data making api request shows stale data sure supports realtime having excellent wifi connection data uploaded google cloud fit app steps following api request summation result match data displayed today steps google fit app
29872103,healthkit auth swift building basic app collect fitness data health kit swift having issue getting authorization occur view controller calling authorisehealthkit func matter change getting back healthkit available device ios simulator reading forum working figure thanks
39543722,healthkit possible sum quantities query app sum quantity activeenergyburned basalenergyburned show possible single hkquery fetch separately add join result query help appreciated
10107569,hl7 version parsing parsing hl7 version messages hapi parse hl7 version messages xml format hapi support hl7 version
30856944,healthkit data overview various data tracked ios found good overview lists data offered healthkit ios gleaned list various source wwdc video looking thorough list discussion found developer apple site ios characteristics birth date blood biological sex basic samples height weight body fat bmi body mass index blood pressure oxygen saturation blood alcohol content bac blood glucose respiratory rate spirometry heart rate sleep samples food samples calories vitamins minerals potassium exercise sample steps flights climbed nike fuel inhaler usage cycling distance ios ios adds following types characteristics fitzpatrick skin skin tone range way classify typical response different types skin ultraviolet light samples exposure index water intake reproductive samples basal body temp cervical mucus quality values dry sticky creamy watery eggwhite ovulation test result surge values negative positive menstruation start menstrual flow values unspecified light medium heavy vaginal spotting menstruation sexual activity boolean protected unprotected state terms sti protection pregnancy
2353859,integrating open leveraging microsoft healthvault articles questions regarding open integration curious integrate site try integrate microsoft healthvault accepts live open smooth potential multiple login action obviously undesired ideally love register site microsoft health vault store health information tether account subsequently wouldn assuming logged account site idea possible
30864490,change color predefined buttons apple research kit make survey apple researchkit couldn find change color predefined button blue make different color
30867867,convert heartrate healthkitstore working iphone app simple app showing heartrate result healthkit nice way step show result raw text unfortunately getting following line telling thread signal sigabrt know did wrong hint direction rest looks
40349022,convert hl7 fhir replace hl7 transaction fhir resource transaction know option map fhir resource based researches doc discussion potential option stand map adt encounter extension children resource references model adt fhir messaging process bundle resources linkage info recommendation thanks
40349036,hl7 conformance profile option tool available create conformance profile messaging workbench mwb tool found having difficult time creating conformance profile particular messaging specification mwb due complexity lack documentation mwb help greatly appreciated
49638188,niftynet input output data data niftynet expect input aware niftynet reads outputs data nifti file format unclear typing individual data sint sint documented ask getting grainy output completely indiscernible performing brain segmentation unet highres3dnet vnet happens train network relatively simple segmentation task leading believe inputs getting misinterpreted byte level happen know data mismatch possible datatype niftynet expects
20898373,convert xml hl7 format working telehealth device showcase found mirth connect able hold api frees source library android client convert xml hl7 format hl7
20899291,rename files metadata content rename files field metadata patient names dicom files example found utility called dcmdump extract part rename file tested gave know part rename dcm file thanks advance
49643907,clipping input data valid range imshow rgb data floats integer tried graph cut algorithm slice mri converting png format keep encountering following problem setting vmin vmax follows
49646373,relationship section entry cda document question entry clinical statement cda document identifiable parent section come situation identify entry belongs section example section section related entry entry entry entry clearly entry related section content related vital sign manual process rule cda makes crystal clear implemented identified automated way generally program
2644976,give reference lines dicom pic dicom pics clearcanva open dicom pics study look pic study pic left corner big pic series clearcanvas open source sdk
40414976,hl7 rim sample data generate normalized rim database possible sample data table
20968765,iterating hl7 message segment iterator object chameleon python api generating hl7 messages interfaceware iguana chameleon experience python question immature iterate message segment iterator object written script global post process equation window gives error saying example iterator follow pattern reset iterator invalid research work discovered equation window window able changes make script feature chameleon configure change implemented message generate think working interfaceware chameleon iguana product easily help
31010262,issues imebra dicom sdk read dicom file instruction given adding imebra intellij idea facing issues exact snippet facing issue error stream opened placed file getting error please suggest
31061829,fhir hl7 concurrently fhir replace understand general constraints rim model steep learning curve led failure fhir clear strengths scalability application mobile device developed total replacement alternative alternative strictly different
21143281,apache avoiding isp blocking medical training system online training platform delivers dynamic online training medical professional nhs nurse medical nature training offensive sexual medical word train nurse teachers school chi1d safety subjects due recent censoring internet content soon blocked due deemed unsafe work child destroy business stop nurse teacher accessing vital training linux vps debian apache php domains pointing platform serving textual jpg gif animations continually changing domain name addresses client side work vpn proxy tor client requesting wrongly categorized prawn graphite material turned back technical solution avoid ridiculous way blind ignorant censoring british telecom nationally recognized training blocked agree blocked vital train client confirm happen hand tied due politics white list recon appeal fellow professional help survive train teacher nurse technical mean possible preferably server side loss hesitant mention brand names stackoverflow deliver content commercial safety group partner sure search come information require validation dns truly necessary list domains signed make clear offer training health safety business course contain suspected keyword
31110202,tell health kit sample came apple watch health app displays watch icon source apple watch simply information health app determine source hksource
12189978,evildicom problem voxelgrid implement problem find component voxelgrid dll evildicom component called voxel work tutorial asking version change evildicom component add image picturebox
3196000,dicom file compression line work requires dicom files dicom file constitutes dcm files single directory required send file network process due massive size file programmer wondering ideal way compress files talking compression made local computer later decompressed destination computer compression solely speeding network transfer file simple way crop dicom files file contain imaging entire head interested small part head thanks
12280311,differentiate cda xml file ruby module validate xml file cda xml file file identified cda content set file application renders xml file identify cda googled content cda mime cda locate answer links suggestion appreciated
49972817,map float resampling dicom image throwing multivalue error getting concatenate list multivalue list highlighting map float portion running resampling commonly image segmentation lungs thinking issue python working earlier version help appreciated
3208417,getting access denied message running wcf service windows azure build healthvault wcf web service requires certificate deploy windows azure visual studio debug solution local iis7 perform functions problem deploy windows azure try method error healthvault assuming related wcf service figure changes local dev environment azure regardless web config file looked answers find pertains situation recommendation thanks
49973546,display image pydicom display image contouring pydicom currently shows image includes contouring show root image contouring root image reference tested console search
31649280,hl7 messages start block end block symbols newbie hl7 messages make interface integration software send hl7 messages software developed team implement wcfservice send hl7 messages software wcfservice send messages test listener testing works send receive messages put start block end block symbol messages clear hl7 messages start end block symbol
41122213,revoke healthkit authorization application healthkit going good authorization done revoke please help
41127913,fhir show discontinued medication medicationadministration show entry mar important ones discontinued medication stu don discontinued help appreciated thanks
41145418,displaying video carekit familiar carekit walk display video instructions portion care card option add photo imageurl ockcareplanactivity video thank
31702994,sort hksamplequery items quantity fetch healthkit quantity data sort quantity value possible know filter find similar key sorting example
41159463,display heartrate saved healthkit swift building app swift ios app display saved heartrate healthkit help authorization request heart rate display heart rate text field
50163340,create hl7 message oru hapi newbie hl7 construct hl7 message oru hapi got incorrect message format add patient detail format fix issue example construct hl7 oru message pid orc obr obx output patient msh abc clinpath abc vet abc vetmed oru output patient comment patient details pid test testlinpath abc vet abc vetmed oru tried way worked
50185976,getting user data google fit android app develop android app bring user fitness data daily step count google fit got google fit history api sample example please tell put oauth clientid android studio give step count log message firebase app initialisation unsuccessful
41238791,create new hkquantitytype read page add custom samples order measurement saved case add accelerometer data apple watch add sample called acc normal case example bloodpreasure unit nil datatype line datatype nil idea implement thank
21967830,parsing hl7 php hl7 xml parse extract data failing miserably call function works fine don repeat repeat sucks xml string able parse following xml grab data following tags segments message gives occurrence help
31830686,hkworkoutsession getting heart rate screen turned watcho ios beta watchos beta heart rate data watch screen turns black lock call heart rate data stops sensor deactivating time green anymore screen locks behavior post initing workoutsession getting heart rate data screen watch locked
50531222,fhir api support unknown member resource working fhir server customized member resource say receive patient following add extra support fhir api work customized resource deserilizer process put patient object read mirjam baltus post model enhanced declared partial mean work fhir api source add partial compile way dll nuget touch source
39204211,query user google fit data rest api right way asking google fit info user web application obviously having consent param userid url path unique way asking specific user stated reference manual value supported means possible retrieve fitness information user fit rest api web application help welcome
48593422,google fit read background read google fit data app written works great created alarmmangaer put fit data read alarm called fit data read app open foreground alarm service
39239637,google fit app setting activity detection application uses google fit history api reading valid activity detect googlefit app good way
39250187,convert vol file format dicom know convert vol extension file dicom dataset online offline tool means please lemme know help greatly appreciated thanks note vol file proprietary format
48757720,dice loss validation set process image main program option train update weight based training set inference predict adjust set convenient way calculate validation set know dice loss calculation function starting painful advice appreciated
29793317,extract pixel dicom file write script extract pixeldata dicom file don external library dicomsdl help write algorithm extract show image
48790913,hapi hl7 validator validate parsed messages scenario parse validate hl7 message works expected valid behavior try parse hl7 message validate validation method returns true thrown generate acknowledgment messages case validation fails message generateack method
58203227,integrate dicom4che jmeter jmeter dicom tests movescu storescu jmeter similar appraoch dicom4che tool kit knowledge integrating
58200979,write mindful minutes healthkit write mindful minutes health app error function amount
58269809,able listen update temperature blood glucose historyclient listener android working fitness tracking app listen temperature body weight parameters app needs callback data inserted google fit repository listen update currently historyclient mentioned job support temperature requirement temperature body weight blood pressure reading inserted google fit repository app needs callback fetch data sync server thanks
