Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,AccountId,DiscussionCount
"50725270","1","50725419","","2018-06-06 16:28:17","","2","2965","9904345","","1226963","","2018-06-06 16:42:20","2018-06-06 16:42:20","Swift error ""Use of undeclared type"" in ViewController","<ios><swift><researchkit>","1","0","","","","9904345","23","2018-06-06 15:51:37","Aasha","2018-08-19 12:17:36","","","","6","0","0","13725478","1"
"11347725","1","11348905","","2012-07-05 15:33:58","","1","547","1478020","","168868","","2013-10-18 04:36:41","2013-10-18 04:36:41","Display VALUE parameter of DICOM image","<c#><dicom><evil-dicom>","1","0","","","","1478020","15","2012-06-24 12:01:25","Adolf","2012-07-23 19:18:08","","","","6","0","0","1595885","1"
"9816917","1","","","2012-03-22 05:26:00","","0","1164","1280098","","","","","2013-06-23 16:49:36","Line break and also getting space in HL7 message","<hl7>","2","0","","","","1280098","18","2012-03-20 05:39:02","ABC","2012-04-24 06:06:48","","","","5","0","0","1337801","2"
"40000311","1","40000384","","2016-10-12 13:46:44","","3","336","738451","","","","","2016-10-12 13:49:28","FHIR RESTful Adding multiple patients resources in a single call","<rest><hl7-fhir>","1","0","","","","738451","932","2011-05-04 16:44:36","Andy","2019-10-10 15:42:16","","","","166","23","1","747418","1"
"40268902","1","","","2016-10-26 17:46:38","","2","120","2704776","","","","","2016-10-27 15:16:22","Order in STU 3 version of FHIR? Advanced Directives?","<dstu2-fhir><hl7-fhir>","2","0","","","","2704776","312","2013-08-21 18:13:33","devjme","2019-10-11 16:13:02","","","","40","306","0","3203096","1"
"58288291","1","","","2019-10-08 14:21:28","","1","10","4625622","","","","","2019-10-08 14:21:28","Will HKLiveWorkoutBuilder and HKWorkoutBuilder APIs be required going forward?","<ios><swift><apple-watch><health-kit><hkhealthstore>","0","0","","","","4625622","1603","2015-03-03 00:08:17","GarySabo","2019-10-09 15:33:42","https://itunes.apple.com/us/developer/myndarc-llc/id979588062","Pittsburgh, PA, USA","<p>Twilight Zone's #1 fan, don't believe me? See <a href=""https://itunes.apple.com/us/app/flylight-zone/id1137105439?mt=8"" rel=""nofollow"">https://itunes.apple.com/us/app/flylight-zone/id1137105439?mt=8</a></p>

<p>I'm also an athlete, musician, and attorney.</p>
","404","540","5","5874247","0"
"49659853","1","49800733","","2018-04-04 20:27:55","","0","214","4625622","","4625622","","2018-04-04 20:35:41","2018-04-12 15:41:41","Setting up an HKAnchoredObjectQuery so that I only receive updates since the last time I queried?","<ios><swift><health-kit>","1","0","","","","4625622","1603","2015-03-03 00:08:17","GarySabo","2019-10-09 15:33:42","https://itunes.apple.com/us/developer/myndarc-llc/id979588062","Pittsburgh, PA, USA","<p>Twilight Zone's #1 fan, don't believe me? See <a href=""https://itunes.apple.com/us/app/flylight-zone/id1137105439?mt=8"" rel=""nofollow"">https://itunes.apple.com/us/app/flylight-zone/id1137105439?mt=8</a></p>

<p>I'm also an athlete, musician, and attorney.</p>
","404","540","5","5874247","1"
"40770183","1","","","2016-11-23 16:55:35","","2","74","2704776","","","","","2016-11-28 13:59:06","FHIR Medication Administration - Current Dose","<dstu2-fhir><hl7-fhir>","2","0","","","","2704776","312","2013-08-21 18:13:33","devjme","2019-10-11 16:13:02","","","","40","306","0","3203096","1"
"20704841","1","","","2013-12-20 13:36:10","","0","607","2274686","","","","","2016-01-04 22:18:17","HL7 messaging using Mule ESB Community","<mule><messaging><soa><mule-studio><hl7>","2","0","","","","2274686","6769","2013-04-12 13:53:45","vdenotaris","2019-10-12 10:29:16","http://www.vdenotaris.com","Milan, Metropolitan City of Milan, Italy","<p>Cloud Customer Engineer at Google. IAM and PKI Security SME. 
Certified Professional Engineer, Google Cloud Architect and Security Engineer.</p>

<hr>

<p><em>Disclaimer: Comments and opinions are my own and not the views of my employer.</em></p>
","760","211","70","2628065","2"
"21240224","1","21262036","","2014-01-20 17:19:22","","0","376","2084352","","2084352","","2014-01-21 12:04:33","2014-01-23 12:22:00","Accessing files within a parent folder and it's sub-folders using Python","<windows><file><python-2.7><path><dicom>","1","0","","","","2084352","15","2013-02-18 18:16:11","Foodaaaay","2014-11-02 10:44:05","","","","5","0","0","2382646","1"
