doc,type,topic,count
0,0,9,4
0,1,9,3
0,2,9,2
0,3,8,2
0,4,5,1
0,4,8,1
0,5,2,1
0,6,9,1
0,7,8,1
0,8,9,1
0,9,9,1
0,10,9,1
0,11,9,1
0,12,8,1
1,0,8,1
1,1,8,1
1,2,4,1
1,13,8,3
1,14,2,1
1,15,4,2
1,16,8,4
1,17,1,1
1,17,2,3
1,17,4,1
1,18,2,1
1,19,8,1
1,20,8,2
1,21,1,1
1,21,8,1
1,22,8,1
1,23,2,1
1,24,2,1
1,25,4,1
1,26,4,1
1,27,2,1
1,28,8,1
1,29,4,1
1,30,2,1
1,31,0,1
1,31,1,2
1,32,2,1
1,33,1,1
1,34,8,1
1,35,8,1
1,36,2,1
1,37,2,1
1,38,2,1
1,39,4,1
2,40,3,2
2,41,3,4
2,42,3,2
2,43,3,2
2,44,0,2
2,45,0,1
2,46,3,1
2,47,3,2
2,48,3,1
2,49,3,1
2,50,3,1
2,51,3,1
2,52,3,2
2,53,3,1
2,54,3,1
2,55,3,1
2,56,3,1
2,57,3,1
3,10,1,1
3,10,3,1
3,58,1,2
3,59,1,2
3,60,1,2
3,61,1,5
3,62,1,2
3,63,8,1
3,64,1,1
3,65,1,1
3,66,1,1
3,67,8,1
3,68,6,1
3,69,8,1
3,70,8,1
3,71,1,1
3,72,1,1
3,73,1,1
4,0,9,4
4,9,9,1
4,10,9,1
4,74,9,4
4,75,9,2
4,76,9,2
4,77,9,2
4,78,9,1
4,79,9,1
5,0,9,4
5,5,9,1
5,73,9,1
5,74,9,4
5,80,9,3
5,81,9,3
5,82,1,1
5,83,9,1
6,3,8,1
6,84,1,1
6,85,1,1
6,86,8,1
6,87,1,1
6,88,4,1
6,89,3,1
6,90,1,1
6,91,4,1
7,4,5,2
7,27,3,1
7,40,3,1
7,47,3,1
7,57,5,1
7,92,3,8
7,93,3,4
7,94,3,4
7,95,5,1
7,96,5,1
7,97,3,1
7,98,3,1
7,99,3,1
7,100,0,1
7,101,5,1
7,102,3,1
7,103,5,1
7,104,3,1
7,105,3,1
7,106,3,1
8,40,3,3
8,47,3,2
8,103,2,1
8,107,3,1
8,108,3,1
8,109,4,1
8,110,4,1
8,111,4,1
8,112,2,1
8,113,4,1
8,114,4,1
8,115,2,1
8,116,4,1
8,117,2,1
8,118,4,1
9,0,9,6
